regimenId,regimenName,treatmentLine,ageCategory,regimenAddTime
448,ABC-3TC-LPV/r,,,2/1/22 15:55
449,OTHers-AZT-3TC-DTG,Second Line,,2/2/22 10:07
450,ABC3t-3TC-EFV,First Line,,2/2/22 10:41
451,TLD-DVR-RTV,Third Line,,2/2/22 13:47
452,TDF-3TC-DTG,,,2/2/22 16:30
453,AZR-3TC-EFV,First Line,,2/2/22 18:27
454,...-...-DTG-ABC/3TC,First Line,,2/3/22 6:58
455,ABC-3TC-EFV,,,2/3/22 7:07
456,ABC-3TC-DTG-LPV/r,Second Line,,2/3/22 7:10
457,ABC-3TC-DTG-DRV/RTV,Second Line,,2/3/22 8:54
458,ABC-3TC-LPV/r,,,2/3/22 9:32
459,ABC-3TC-NVP,,,2/3/22 11:37
460,ABC-3TC-LPV/r-PEL/l/ETS,First Line,,2/3/22 12:02
461,AZT-3TC-NVP,,,2/3/22 12:44
462,AZT-3TC-DTG/v,Second Line,,2/3/22 13:13
463,Left Blank,Second Line,,2/4/22 1:00
464,DRV+ RTV+DTG+TDF+3TC,Third Line,,2/4/22 1:00
465,AZT-3TC-DTG-DRV,Second Line,,2/4/22 8:30
466,ABC-3TC-LPV-RTV/DTG,Second Line,,2/4/22 9:17
467,ETR-DRV-RTV,Third Line,,2/4/22 10:15
468,AZT-3TC-DRV-RTV,Third Line,,2/4/22 10:31
469,TDF-TDF-DTG-DRV/RTV,Third Line,,2/7/22 4:49
470,TDF-3TC-DTG/ -DRV/RTV,Third Line,,2/7/22 4:51
471,AZT-3TC-DTG,,,2/7/22 5:37
472,ABC-ABC-3TC/DTG,First Line,,2/7/22 20:11
473,AZT-AZT-3TC/EFV,First Line,,2/7/22 20:57
474,AZT-3TC-3TC/EFV,First Line,,2/8/22 8:38
475,TDF-3TC-DTG-ETV,Third Line,,2/8/22 13:26
476,TDF-3TC-DTG-DTV/RTV,Third Line,,2/9/22 12:52
477,TRIom-3TC-NVP/NVP,First Line,,2/10/22 6:36
478,RTV-RTV-RTV-LPV,Second Line,,2/14/22 7:59
479,RAL-RAL-RAL-LPV/RTV,Second Line,,2/14/22 8:00
480,TDF-3TC-ATV/r,,,2/14/22 8:23
481,NVP-...-...-AZT/3TC,First Line,,2/14/22 8:24
482,TDF-3TC-LPV/RTV,Second Line,,2/14/22 9:19
483,AZT-3TC-ATV/r-.../...,Second Line,,2/14/22 9:31
484,AZT/ -3TC-NVP,First Line,,2/14/22 11:54
485,TDF-3TC-LPV/r,,,2/14/22 12:10
486,ABC-ETC-LPV/r,First Line,,2/14/22 13:56
487,TDF-3TC-ATR/v,Second Line,,2/14/22 14:32
488,ABC-3TC-EVP,First Line,,2/14/22 15:10
489,AZT-3TC-LPVr ,,,2/14/22 15:14
490,AZT-3TC-LPVr ,,,2/14/22 15:14
491,TDF-3TC-DTG/ ,Second Line,,2/14/22 15:15
