batchId,referringVlLab,drLab,creationDate,referralDate
49,UNHLS,JCRC,1/4/22 8:27,1/13/22
50,UNHLS,JCRC,1/5/22 8:38,1/13/22
51,Mildmay,JCRC,1/12/22 13:16,1/17/22
52,UNHLS,JCRC,1/17/22 10:56,1/21/22
53,UNHLS,JCRC,1/26/22 9:12,2/7/22
54,UNHLS,JCRC,2/7/22 12:26,2/14/22
55,UNHLS,JCRC,2/14/22 7:08,2/25/22
56,Mildmay,JCRC,2/25/22 5:59,2/28/22
57,UNHLS,JCRC,2/28/22 10:39,3/3/22
58,UNHLS,JCRC,3/4/22 6:35,3/10/22
59,UNHLS,JCRC,3/16/22 8:31,3/18/22
60,UNHLS,JCRC,3/28/22 10:28,3/31/22
61,Mildmay,JCRC,4/1/22 6:22,4/1/22
62,Mildmay,JCRC,4/9/22 8:46,4/13/22
63,UNHLS,JCRC,4/11/22 7:55,4/14/22
64,UNHLS,JCRC,4/20/22 10:49,4/25/22
65,UNHLS,JCRC,4/28/22 5:28,4/28/22
66,UNHLS,JCRC,4/28/22 10:55,5/9/22
67,UNHLS,JCRC,5/12/22 5:54,5/14/22
68,UNHLS,CPHL,6/15/22 13:26,8/15/22
70,UNHLS,JCRC,8/17/22 12:18,10/19/22
71,Mildmay,JCRC,9/15/22 5:59,9/30/22
72,Mildmay,JCRC,9/23/22 12:22,9/30/22
73,Mildmay,JCRC,9/28/22 10:47,9/30/22
74,UNHLS,JCRC,10/12/22 12:00,10/14/22
75,UNHLS,JCRC,10/14/22 8:21,10/17/22
76,Mildmay,JCRC,11/2/22 12:51,11/4/22
77,UNHLS,JCRC,11/4/22 7:36,11/16/22
78,Mildmay,JCRC,11/9/22 12:09,12/12/22
79,UNHLS,JCRC,11/14/22 13:43,11/15/22
80,UNHLS,CPHL,11/17/22 9:12,11/29/22
81,UNHLS,CPHL,11/29/22 10:18,11/29/22
82,UNHLS,CPHL,12/5/22 12:44,12/5/22
83,UNHLS,CPHL,12/8/22 11:53,12/12/22
84,UNHLS,CPHL,12/12/22 12:47,12/13/22
85,UNHLS,CPHL,12/13/22 12:41,12/19/22
86,UNHLS,CPHL,12/19/22 9:28,12/19/22
87,UNHLS,CPHL,12/19/22 11:41,12/20/22
88,UNHLS,CPHL,12/20/22 13:28,1/3/23
89,UNHLS,CPHL,1/6/23 6:07,1/6/23
90,UNHLS,JCRC,1/6/23 6:32,1/12/23
91,Mildmay,JCRC,1/9/23 6:34,1/9/23
92,UNHLS,CPHL,1/16/23 13:58,1/16/23
93,UNHLS,JCRC,1/18/23 6:09,1/18/23
94,UNHLS,CPHL,1/19/23 10:55,1/24/23
95,UNHLS,JCRC,1/24/23 12:41,1/27/23
96,UNHLS,JCRC,1/24/23 12:42,1/27/23
97,UNHLS,CPHL,1/27/23 10:25,1/31/23
98,UNHLS,CPHL,2/2/23 13:37,2/6/23
99,UNHLS,CPHL,2/13/23 9:37,2/27/23
100,UNHLS,JCRC,3/6/23 12:36,3/7/23
101,UNHLS,JCRC,3/6/23 12:37,3/7/23
102,UNHLS,JCRC,3/6/23 12:47,3/7/23
103,UNHLS,JCRC,3/6/23 12:48,3/22/23
104,UNHLS,JCRC,3/6/23 13:40,3/7/23
105,UNHLS,JCRC,3/6/23 13:49,3/22/23
106,UNHLS,JCRC,3/13/23 12:37,3/15/23
107,UNHLS,JCRC,3/15/23 11:59,3/24/23
108,UNHLS,JCRC,4/3/23 18:08,4/3/23
109,UNHLS,JCRC,4/13/23 10:35,4/14/23
110,UNHLS,JCRC,4/20/23 8:32,4/20/23
111,UNHLS,JCRC,4/20/23 11:12,4/24/23
112,UNHLS,JCRC,4/20/23 11:47,4/24/23
113,UNHLS,JCRC,4/20/23 12:21,4/24/23
114,UNHLS,JCRC,4/24/23 6:53,4/24/23
115,UNHLS,JCRC,4/25/23 7:06,5/4/23
116,UNHLS,JCRC,5/5/23 8:41,5/12/23
117,Mildmay,JCRC,5/8/23 8:53,5/8/23
120,UNHLS,JCRC,5/10/23 11:21,5/12/23
121,UNHLS,JCRC,5/15/23 12:35,5/19/23
122,UNHLS,UVRI,5/24/23 5:50,5/25/23
123,UNHLS,JCRC,5/25/23 7:55,6/1/23
124,UNHLS,JCRC,5/29/23 12:16,5/31/23
126,UNHLS,JCRC,6/2/23 7:47,6/15/23
127,UNHLS,JCRC,6/6/23 12:39,6/6/23
128,UNHLS,CPHL,6/16/23 16:41,6/21/23
129,UNHLS,JCRC,6/21/23 17:45,6/21/23
130,UNHLS,CPHL,6/22/23 9:47,6/22/23
131,UNHLS,JCRC,6/26/23 18:10,6/26/23
132,UNHLS,CPHL,6/30/23 10:18,7/3/23
133,UNHLS,CPHL,6/30/23 12:05,7/3/23
134,UNHLS,JCRC,7/4/23 13:25,7/6/23
135,UNHLS,CPHL,7/4/23 13:47,7/6/23
136,UNHLS,CPHL,7/5/23 11:13,7/11/23
137,Mildmay,JCRC,7/10/23 8:35,7/10/23
138,UNHLS,UVRI,7/12/23 7:03,7/14/23
139,UNHLS,CPHL,7/13/23 12:51,7/17/23
140,UNHLS,CPHL,7/18/23 11:17,7/24/23
141,UNHLS,UVRI,7/24/23 13:33,7/25/23
142,Mildmay,JCRC,7/28/23 12:28,8/4/23
143,UNHLS,JCRC,7/31/23 8:54,8/4/23
144,UNHLS,CPHL,8/3/23 11:51,8/4/23
145,UNHLS,CPHL,8/7/23 11:56,8/14/23
146,UNHLS,CPHL,8/14/23 11:08,8/15/23
147,UNHLS,CPHL,8/15/23 7:57,8/21/23
148,UNHLS,CPHL,8/21/23 11:48,8/29/23
149,UNHLS,UVRI,8/28/23 13:40,9/4/23
150,UNHLS,CPHL,9/1/23 8:32,9/5/23
151,Mildmay,JCRC,9/4/23 9:33,9/5/23
152,UNHLS,JCRC,9/8/23 6:41,9/12/23
153,UNHLS,CPHL,9/13/23 11:07,9/18/23
154,UNHLS,JCRC,9/15/23 9:55,9/20/23
155,Mildmay,JCRC,9/19/23 13:45,9/20/23
156,UNHLS,CPHL,9/21/23 9:19,9/25/23
157,UNHLS,CPHL,9/22/23 12:04,9/25/23
158,UNHLS,JCRC,9/25/23 8:07,9/27/23
159,UNHLS,JCRC,9/28/23 11:13,10/3/23
160,UNHLS,JCRC,10/2/23 10:03,10/3/23
161,UNHLS,JCRC,10/3/23 6:01,10/3/23
162,UNHLS,CPHL,10/4/23 9:01,10/12/23
163,UNHLS,CPHL,10/6/23 12:52,10/16/23
164,Mildmay,CPHL,10/12/23 9:15,10/12/23
165,UNHLS,CPHL,10/13/23 9:46,10/23/23
166,UNHLS,CPHL,10/25/23 12:44,11/1/23
167,UNHLS,JCRC,10/25/23 13:12,10/31/23
168,UNHLS,CPHL,10/26/23 12:41,11/1/23
169,UNHLS,CPHL,11/1/23 9:20,11/10/23
170,UNHLS,CPHL,11/2/23 9:41,11/14/23
171,UNHLS,JCRC,11/7/23 11:49,11/22/23
172,UNHLS,JCRC,11/16/23 9:07,11/22/23
173,UNHLS,JCRC,11/16/23 9:24,12/7/23
174,UNHLS,JCRC,11/21/23 11:06,12/7/23
175,UNHLS,CPHL,11/24/23 12:34,12/15/23
176,UNHLS,JCRC,11/27/23 8:22,1/17/24
177,UNHLS,CPHL,12/6/23 10:06,12/15/23
178,UNHLS,JCRC,12/11/23 10:53,1/17/24
179,UNHLS,CPHL,12/12/23 11:11,1/24/24
180,UNHLS,CPHL,12/13/23 11:24,1/30/24
181,UNHLS,JCRC,12/19/23 9:28,2/2/24
182,UNHLS,CPHL,1/11/24 9:04,1/30/24
183,UNHLS,CPHL,1/22/24 10:10,2/8/24
184,UNHLS,CPHL,1/30/24 8:33,2/6/24
185,UNHLS,CPHL,2/5/24 11:26,2/6/24
186,UNHLS,CPHL,2/5/24 12:35,2/12/24
187,UNHLS,CPHL,2/8/24 13:01,2/22/24
188,UNHLS,CPHL,2/12/24 12:58,2/22/24
189,UNHLS,CPHL,2/20/24 8:27,2/27/24
190,UNHLS,CPHL,2/22/24 8:16,2/27/24
191,Mildmay,CPHL,2/23/24 8:00,2/23/24
192,Mildmay,CPHL,2/26/24 6:22,2/26/24
193,UNHLS,CPHL,2/27/24 8:50,3/5/24
194,UNHLS,CPHL,3/5/24 7:33,3/11/24
195,UNHLS,CPHL,3/11/24 10:04,3/20/24
196,Mildmay,CPHL,3/12/24 6:28,3/26/24
197,UNHLS,CPHL,3/13/24 7:21,3/26/24
198,UNHLS,CPHL,3/20/24 6:18,3/20/24
199,UNHLS,CPHL,3/27/24 15:41,3/28/24
200,UNHLS,CPHL,4/2/24 9:11,4/4/24
201,UNHLS,CPHL,4/3/24 12:49,4/4/24
202,UNHLS,CPHL,4/3/24 13:02,4/4/24
203,Mildmay,CPHL,4/8/24 13:46,4/16/24
204,UNHLS,CPHL,4/21/24 14:29,4/21/24
205,UNHLS,CPHL,4/22/24 6:24,
